registrar_id,registrar_name
11, Edge Duplicate
802215,DROP.com.au Pty Ltd
802217,Fabulous.com.au Pty Ltd
802219,Above.au Pty Limited
802221,Terrific.com.au Pty Ltd
802223,Web Address Registration Pty Ltd
802225,DNTrade.com.au Pty Ltd
802227,Cheaper Domains Pty Ltd
802231,Discount Domain Name Services Pty Ltd
802233,Domain Directors Pty Ltd trading as Instra
802237,Education Services Australia Limited
802239,Department of Finance
802241,GoHosting Pty Ltd
802243,Information Brokers Pty Ltd
802245,InterNetX GmbH
802247,MarkMonitor Corporate Services Inc
802249,Micron21 Data Centre Pty Ltd
802251,Netfleet.com.au Pty Ltd
802255,Melbourne IT
802261,Tucows (Australia) Pty Ltd trading as OpenSRS
802265,Nexigen Digital Pty Ltd
802269,Help.com.au Pty Ltd
802321,Department of Finance - ACT
802323,Department of Finance - NSW
802325,Department of Finance - QLD
802327,Department of Finance - SA
802329,Department of Finance - VIC
802331,Department of Finance - WA
802556,Department of Finance - TAS
803064,"Amazon Registrar Australia, LLC"
1000000,.au Domain Administration Limited
